video_id,dataset,split,video_path,gt_label,predicted_label,binary_label,pred_binary,binary_status,anomaly_score,binary_confidence,class_confidence,num_segments,taxonomy_label,taxonomy_note,manual_note
Fighting003_x264,ucf_crime,test,data/ucf_crime/raw_videos/Anomaly-Videos/Fighting/Fighting003_x264.mp4,fighting,robbery,1,1,TP,0.9984866380691528,0.9984866380691528,0.6361526250839233,193,other,Correct prediction.,"TP: gt=fighting, pred=robbery, anomaly_score=0.998487. Suggested failure type='other'. Correct prediction."
Fighting018_x264,ucf_crime,test,data/ucf_crime/raw_videos/Anomaly-Videos/Fighting/Fighting018_x264.mp4,fighting,normal,1,1,TP,0.9600276947021484,0.9600276947021484,0.03997230529785156,86,other,Correct prediction.,"TP: gt=fighting, pred=normal, anomaly_score=0.960028. Suggested failure type='other'. Correct prediction."
Fighting033_x264,ucf_crime,test,data/ucf_crime/raw_videos/Anomaly-Videos/Fighting/Fighting033_x264.mp4,fighting,fighting,1,1,TP,0.999424934387207,0.999424934387207,0.8135848045349121,69,other,Correct prediction.,"TP: gt=fighting, pred=fighting, anomaly_score=0.999425. Suggested failure type='other'. Correct prediction."
Fighting042_x264,ucf_crime,test,data/ucf_crime/raw_videos/Anomaly-Videos/Fighting/Fighting042_x264.mp4,fighting,robbery,1,1,TP,0.9952613115310669,0.9952613115310669,0.9280830025672913,139,other,Correct prediction.,"TP: gt=fighting, pred=robbery, anomaly_score=0.995261. Suggested failure type='other'. Correct prediction."
Fighting047_x264,ucf_crime,test,data/ucf_crime/raw_videos/Anomaly-Videos/Fighting/Fighting047_x264.mp4,fighting,fighting,1,1,TP,0.9654824137687683,0.9654824137687683,0.789862334728241,278,other,Correct prediction.,"TP: gt=fighting, pred=fighting, anomaly_score=0.965482. Suggested failure type='other'. Correct prediction."
Shooting002_x264,ucf_crime,test,data/ucf_crime/raw_videos/Anomaly-Videos/Shooting/Shooting002_x264.mp4,shooting,fighting,1,1,TP,0.9979629516601562,0.9979629516601562,0.9407476782798767,75,other,Correct prediction.,"TP: gt=shooting, pred=fighting, anomaly_score=0.997963. Suggested failure type='other'. Correct prediction."
Shooting004_x264,ucf_crime,test,data/ucf_crime/raw_videos/Anomaly-Videos/Shooting/Shooting004_x264.mp4,shooting,explosion,1,1,TP,0.9935304522514343,0.9935304522514343,0.9466310143470764,112,other,Correct prediction.,"TP: gt=shooting, pred=explosion, anomaly_score=0.993530. Suggested failure type='other'. Correct prediction."
Shooting007_x264,ucf_crime,test,data/ucf_crime/raw_videos/Anomaly-Videos/Shooting/Shooting007_x264.mp4,shooting,explosion,1,1,TP,0.9693395495414734,0.9693395495414734,0.619922935962677,89,other,Correct prediction.,"TP: gt=shooting, pred=explosion, anomaly_score=0.969340. Suggested failure type='other'. Correct prediction."
Shooting008_x264,ucf_crime,test,data/ucf_crime/raw_videos/Anomaly-Videos/Shooting/Shooting008_x264.mp4,shooting,normal,1,0,FN,0.34960636496543884,0.6503936350345612,0.6503936350345612,101,similar normal motion,Anomalous action likely resembles learned normal motion pattern.,"FN: gt=shooting, pred=normal, anomaly_score=0.349606. Suggested failure type='similar normal motion'. Anomalous action likely resembles learned normal motion pattern."
Shooting010_x264,ucf_crime,test,data/ucf_crime/raw_videos/Anomaly-Videos/Shooting/Shooting010_x264.mp4,shooting,normal,1,0,FN,0.095279261469841,0.904720738530159,0.904720738530159,165,low light,Very low anomaly confidence on positive sample suggests weak visual saliency / low visibility.,"FN: gt=shooting, pred=normal, anomaly_score=0.095279. Suggested failure type='low light'. Very low anomaly confidence on positive sample suggests weak visual saliency / low visibility."
Shooting011_x264,ucf_crime,test,data/ucf_crime/raw_videos/Anomaly-Videos/Shooting/Shooting011_x264.mp4,shooting,robbery,1,1,TP,0.9719379544258118,0.9719379544258118,0.9734919667243958,250,other,Correct prediction.,"TP: gt=shooting, pred=robbery, anomaly_score=0.971938. Suggested failure type='other'. Correct prediction."
Shooting013_x264,ucf_crime,test,data/ucf_crime/raw_videos/Anomaly-Videos/Shooting/Shooting013_x264.mp4,shooting,abuse,1,1,TP,0.9998956322669983,0.9998956322669983,0.9651362895965576,67,other,Correct prediction.,"TP: gt=shooting, pred=abuse, anomaly_score=0.999896. Suggested failure type='other'. Correct prediction."
Shooting015_x264,ucf_crime,test,data/ucf_crime/raw_videos/Anomaly-Videos/Shooting/Shooting015_x264.mp4,shooting,normal,1,1,TP,0.7578821778297424,0.7578821778297424,0.24211782217025757,107,other,Correct prediction.,"TP: gt=shooting, pred=normal, anomaly_score=0.757882. Suggested failure type='other'. Correct prediction."
Shooting018_x264,ucf_crime,test,data/ucf_crime/raw_videos/Anomaly-Videos/Shooting/Shooting018_x264.mp4,shooting,normal,1,1,TP,0.8194986581802368,0.8194986581802368,0.18050134181976318,112,other,Correct prediction.,"TP: gt=shooting, pred=normal, anomaly_score=0.819499. Suggested failure type='other'. Correct prediction."
Shooting019_x264,ucf_crime,test,data/ucf_crime/raw_videos/Anomaly-Videos/Shooting/Shooting019_x264.mp4,shooting,explosion,1,1,TP,0.9996746182441711,0.9996746182441711,0.6619395017623901,172,other,Correct prediction.,"TP: gt=shooting, pred=explosion, anomaly_score=0.999675. Suggested failure type='other'. Correct prediction."
Shooting021_x264,ucf_crime,test,data/ucf_crime/raw_videos/Anomaly-Videos/Shooting/Shooting021_x264.mp4,shooting,shooting,1,1,TP,0.9981077909469604,0.9981077909469604,0.42541971802711487,79,other,Correct prediction.,"TP: gt=shooting, pred=shooting, anomaly_score=0.998108. Suggested failure type='other'. Correct prediction."
Shooting022_x264,ucf_crime,test,data/ucf_crime/raw_videos/Anomaly-Videos/Shooting/Shooting022_x264.mp4,shooting,normal,1,0,FN,0.09385499358177185,0.9061450064182281,0.9061450064182281,284,low light,Very low anomaly confidence on positive sample suggests weak visual saliency / low visibility.,"FN: gt=shooting, pred=normal, anomaly_score=0.093855. Suggested failure type='low light'. Very low anomaly confidence on positive sample suggests weak visual saliency / low visibility."
Shooting024_x264,ucf_crime,test,data/ucf_crime/raw_videos/Anomaly-Videos/Shooting/Shooting024_x264.mp4,shooting,normal,1,0,FN,0.25312694907188416,0.7468730509281158,0.7468730509281158,125,similar normal motion,Anomalous action likely resembles learned normal motion pattern.,"FN: gt=shooting, pred=normal, anomaly_score=0.253127. Suggested failure type='similar normal motion'. Anomalous action likely resembles learned normal motion pattern."
Shooting026_x264,ucf_crime,test,data/ucf_crime/raw_videos/Anomaly-Videos/Shooting/Shooting026_x264.mp4,shooting,shooting,1,1,TP,0.9999895095825195,0.9999895095825195,0.3555784523487091,87,other,Correct prediction.,"TP: gt=shooting, pred=shooting, anomaly_score=0.999990. Suggested failure type='other'. Correct prediction."
Shooting028_x264,ucf_crime,test,data/ucf_crime/raw_videos/Anomaly-Videos/Shooting/Shooting028_x264.mp4,shooting,shooting,1,1,TP,0.9999953508377075,0.9999953508377075,0.5809189081192017,118,other,Correct prediction.,"TP: gt=shooting, pred=shooting, anomaly_score=0.999995. Suggested failure type='other'. Correct prediction."
Shooting032_x264,ucf_crime,test,data/ucf_crime/raw_videos/Anomaly-Videos/Shooting/Shooting032_x264.mp4,shooting,fighting,1,1,TP,0.6922457218170166,0.6922457218170166,0.4460488259792328,1355,other,Correct prediction.,"TP: gt=shooting, pred=fighting, anomaly_score=0.692246. Suggested failure type='other'. Correct prediction."
Shooting033_x264,ucf_crime,test,data/ucf_crime/raw_videos/Anomaly-Videos/Shooting/Shooting033_x264.mp4,shooting,robbery,1,1,TP,0.82080078125,0.82080078125,0.5470895767211914,226,other,Correct prediction.,"TP: gt=shooting, pred=robbery, anomaly_score=0.820801. Suggested failure type='other'. Correct prediction."
Shooting034_x264,ucf_crime,test,data/ucf_crime/raw_videos/Anomaly-Videos/Shooting/Shooting034_x264.mp4,shooting,normal,1,0,FN,0.2585891783237457,0.7414108216762543,0.7414108216762543,88,similar normal motion,Anomalous action likely resembles learned normal motion pattern.,"FN: gt=shooting, pred=normal, anomaly_score=0.258589. Suggested failure type='similar normal motion'. Anomalous action likely resembles learned normal motion pattern."
Shooting037_x264,ucf_crime,test,data/ucf_crime/raw_videos/Anomaly-Videos/Shooting/Shooting037_x264.mp4,shooting,abuse,1,1,TP,0.9957470893859863,0.9957470893859863,0.7833393812179565,19,other,Correct prediction.,"TP: gt=shooting, pred=abuse, anomaly_score=0.995747. Suggested failure type='other'. Correct prediction."
Shooting043_x264,ucf_crime,test,data/ucf_crime/raw_videos/Anomaly-Videos/Shooting/Shooting043_x264.mp4,shooting,fighting,1,1,TP,0.9931907057762146,0.9931907057762146,0.986193060874939,117,other,Correct prediction.,"TP: gt=shooting, pred=fighting, anomaly_score=0.993191. Suggested failure type='other'. Correct prediction."
Shooting046_x264,ucf_crime,test,data/ucf_crime/raw_videos/Anomaly-Videos/Shooting/Shooting046_x264.mp4,shooting,robbery,1,1,TP,0.9874563217163086,0.9874563217163086,0.9375494122505188,318,other,Correct prediction.,"TP: gt=shooting, pred=robbery, anomaly_score=0.987456. Suggested failure type='other'. Correct prediction."
Shooting047_x264,ucf_crime,test,data/ucf_crime/raw_videos/Anomaly-Videos/Shooting/Shooting047_x264.mp4,shooting,normal,1,0,FN,0.07345981150865555,0.9265401884913445,0.9265401884913445,517,low light,Very low anomaly confidence on positive sample suggests weak visual saliency / low visibility.,"FN: gt=shooting, pred=normal, anomaly_score=0.073460. Suggested failure type='low light'. Very low anomaly confidence on positive sample suggests weak visual saliency / low visibility."
Shooting048_x264,ucf_crime,test,data/ucf_crime/raw_videos/Anomaly-Videos/Shooting/Shooting048_x264.mp4,shooting,normal,1,0,FN,0.10110539942979813,0.8988946005702019,0.8988946005702019,171,low light,Very low anomaly confidence on positive sample suggests weak visual saliency / low visibility.,"FN: gt=shooting, pred=normal, anomaly_score=0.101105. Suggested failure type='low light'. Very low anomaly confidence on positive sample suggests weak visual saliency / low visibility."
Explosion002_x264,ucf_crime,test,data/ucf_crime/raw_videos/Anomaly-Videos/Explosion/Explosion002_x264.mp4,explosion,explosion,1,1,TP,0.9060947895050049,0.9060947895050049,0.9354020357131958,250,other,Correct prediction.,"TP: gt=explosion, pred=explosion, anomaly_score=0.906095. Suggested failure type='other'. Correct prediction."
Explosion004_x264,ucf_crime,test,data/ucf_crime/raw_videos/Anomaly-Videos/Explosion/Explosion004_x264.mp4,explosion,fighting,1,1,TP,0.9999777674674988,0.9999777674674988,0.6080487370491028,118,other,Correct prediction.,"TP: gt=explosion, pred=fighting, anomaly_score=0.999978. Suggested failure type='other'. Correct prediction."
